Trial Date & Time;Subject;Experiment Condition;Task;Step;Action Type;Total Time (s);#Visits;Note;Condition Code;Action Type Code; Task Name
8/07 02:53 pm;6;LG Tablet;8;7;manipulate;16,427;1;;3;2;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;8;manipulate;11,696;1;;3;2;fuse (interior)
8/07 02:53 pm;6;LG Tablet;8;9;title;;;;3;0;fuse (interior)
8/07 03:23 pm;7;Epson Moverio;1;1;title;3,168;1;;2;0;engine oil
8/07 03:23 pm;7;Epson Moverio;1;2;locate;8,681;1;;2;1;engine oil
8/07 03:23 pm;7;Epson Moverio;1;3;manipulate;5,898;1;;2;2;engine oil
8/07 03:23 pm;7;Epson Moverio;1;4;manipulate;15,211;1;;2;2;engine oil
8/07 03:23 pm;7;Epson Moverio;1;5;manipulate;4,488;1;;2;2;engine oil
8/07 03:23 pm;7;Epson Moverio;1;6;manipulate;3,507;1;;2;2;engine oil
8/07 03:23 pm;7;Epson Moverio;1;7;compare;9,831;1;;2;3;engine oil
8/07 03:23 pm;7;Epson Moverio;1;8;manipulate;11,833;1;;2;2;engine oil
8/07 03:23 pm;7;Epson Moverio;1;9;title;2,441;1;;2;0;engine oil
8/07 03:23 pm;7;Epson Moverio;2;1;title;6,231;1;;2;0;fuse (exterior)
